,0,1,2,3,4,5,6,7,8,9,10,11
0,,TOTAL,,GEN,,,SC,,,ST,,TOTAL
1,STATE/UT,PCs,1-Seat,2-Seat,Total,1-Seat,2-Seat,Total,1-Seat,2-Seat,Total,SEATS
2,1Andhra Pradesh,35,27,8,35,0,0,0,0,0,0,43
3,2Assam,10,7,2,9,0,0,0,1,0,1,12
4,3Bihar,45,33,8,41,0,0,0,4,0,4,53
5,4Bombay,58,46,8,54,0,0,0,4,0,4,66
6,5Kerala,16,14,2,16,0,0,0,0,0,0,18
7,6Madhya Pradesh,27,15,9,24,0,0,0,3,0,3,36
8,7Madras,34,27,7,34,0,0,0,0,0,0,41
9,8Mysore,23,20,3,23,0,0,0,0,0,0,26
10,9Orrisa,14,6,6,12,0,0,0,2,0,2,20
11,10Punjab,17,12,5,17,0,0,0,0,0,0,22
12,11Rajasthan,18,13,4,17,0,0,0,1,0,1,22
13,12Uttar Pradesh,68,50,18,68,0,0,0,0,0,0,86
14,13West Bengal,28,20,8,28,0,0,0,0,0,0,36
15,14Delhi,4,3,1,4,0,0,0,0,0,0,5
16,15Himachal Pradesh,3,2,1,3,0,0,0,0,0,0,4
17,16Manipur,2,1,0,1,0,0,0,1,0,1,2
18,17Tripura,1,0,1,1,0,0,0,0,0,0,2
19,TOTAL,403,296,91,387,0,0,0,16,0,16,494
